num_ref;etablissements;localite;type_musee;total_06;grat_06;total_07;grat_07;evolution_07_06_en;total_08;grat_08;evolution_08_07_en;total_09;grat_09;evolution_09_08_en;total_10;grat_10;evolution_10_09_en;commentaires;wgs84
7511001;MUSEE DE LA PUBLICITE (UCAD);PARIS;Musée national;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;;;48.856614, 2.3522219
7510905;MUSEE DE LA VIE ROMANTIQUE;PARIS;Musée de la ville de Paris (appellation en 2004);71 901;31 982;62 617;39 157;-13;79 799;47 295;27;81 829;53 421;3;140 668;77 563;72;;48.8808677, 2.3333874
7510304;MUSEE NATIONAL DES TECHNIQUES (ARTS ET METIERS);PARIS;;184 484;;152 817;;-17;232 458;180 384;52;203 066;127 636;-13;210 048;126 460;3;;48.8666646, 2.3572703
7510517;MUSEE DE L'ASSISTANCE PUBLIQUE-HOPITAUX DE PARIS;PARIS;;15 918;6 492;16 171;6 139;2;23 203;9 210;43;19 311;;-17;18 034;;-7;;48.850768, 2.3360655
7510609;MUSEE DES MONNAIES ET DES MEDAILLES;PARIS;;10 545;;13 145;3 618;25;21 313;11 000;62;35 836;23 915;68;confidentiel;confidentiel;confidentiel;;48.856614, 2.3522219
7511504;MUSEE DE LA POSTE;PARIS;;61 485;46 091;67 248;50 026;9;60 319;42 286;-10;76 529;54 238;27;85 689;59 712;12;;48.8413285, 2.3173417
7714201;MUSEE MUNICIPAL;CRECY-LA CHAPELLE;;Fermé;Fermé;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;;48.857397, 2.910674
7838001;MUSEE VICTOR AUBERT;MAULE;;;;;;;1 532;1 532;;;;;;;;;48.9087219, 1.8492231
7864601;MUSEE LAMBINET;VERSAILLES;;13 206;3 210;14 746;4 753;12;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;;48.801408, 2.130122
9122301;MUSEE INTERCOMMUNAL D'ETAMPES;ETAMPES;;7 138;6 436;8 499;7 527;19;10 856;9 889;28;11 346;9 722;5;14 193;12 630;25;;48.436839, 2.158953
9206301;MUSEE DU CHATEAU DE MALMAISON;RUEIL-MALMAISON;Musée national;57 447;22 938;60 682;25 158;6;70 416;30 066;16;64 991;28 617;-8;67 490;31 840;4;;48.8747246, 2.1770031
9304801;MUSEE DE L'HISTOIRE VIVANTE;MONTREUIL-SOUS-BOIS;;3 905;;4 320;2 000;11;3 098;1 922;-28;4 134;2 142;33;3 013;2 088;-27;;48.8659993, 2.4717951
9306601;MUSEE D'ART ET D'HISTOIRE;SAINT-DENIS;;35 110;30 701;32 355;28 626;-8;31 853;29 155;-2;26 591;23 573;-17;32 756;;23;;48.936181, 2.357443
9520501;MUSEE NATIONAL DE LA RENAISSANCE;ECOUEN;Musée national;55 497;38 182;54 545;37 557;-2;83 477;70 539;53;73 218;49 309;-12;59 051;42 393;-19;;49.017291, 2.378554
7511607;MUSEE BOUCHARD;PARIS;;2 843;1 020;1 642;;-42;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;Fermeture définitive du musée le 15 mars 2007. Transfert de la collection au musée d'Art et d'Industrie La Piscine de Roubaix;48.8534171, 2.2662724
7713201;MUSEE LOUIS-BRAILLE;COUPVRAY;;;;3 650;850;;3 453;762;-5;6 848;1 675;98;4 411;1 123;-36;;48.8945256, 2.7922112
7728501;MUSEE HENRI CHAPU;LE MEE SUR SEINE;;964;964;1 410;1 410;46;585;585;-59;910;910;56;376;376;-59;;48.5347529, 2.6351751
7842001;MUSEE MAISON MAURICE RAVEL;MONTFORT-L'AMAURY;;2 780;;2 117;;-24;3 750;;77;2 419;139;-35;confidentiel;confidentiel;confidentiel;;48.776139, 1.8053812
7851702;MUSEE RAMBOLITRAIN;RAMBOUILLET;;14 478;1 436;15 995;1 453;10;16 149;1 634;1;17 461;2 191;8;16 612;2 016;-5;;48.6460622, 1.824013
9201204;MUSEE BELMONDO ET DE LA SCULPTURE FIGURATIVE du XXè siècle;BOULOGNE-BILLANCOURT;Appellation Musée de France en 2007;;;PREFIGURATION;PREFIGURATION;;PREFIGURATION;PREFIGURATION;;PREFIGURATION;PREFIGURATION;;14 714;;;uverture du musée Belmondo et de la sculpture figurative du XXè siècle en 2010;48.84325, 2.237803
9202601;MUSEE ROYBET-FOULD;COURBEVOIE;;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;confidentiel;9 685;9 685;confidentiel;;48.900552, 2.25929
9535101;MUSEE INTERCOMMUNAL D'HISTOIRE ET D'ARCHEOLOGIE;LOUVRES;;Fermé;Fermé;Fermé;Fermé;;1 650;1 610;;2 262;2 183;37;3 944;2 615;74;Musée fermé sauf lors d’événements ou réservation. Déménagement à Roissy-en-France. Le musée a ouvert ses portes le 10 septembre 2010;49.04108, 2.507173
7511601;MUSEE D'ENNERY;PARIS;Musée national;Fermé;Fermé;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;;48.8717467, 2.2813449
7511606;MUSEE DES MONUMENTS FRANCAIS;PARIS;;Fermé;Fermé;163 806;50 663;;323 615;137 657;98;332 804;211 109;3;322 434;147 710;-3;;48.862894, 2.288246
7510107;MUSEE DE LA MODE ET DU TEXTILE (UCAD);PARIS;Musée national;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;;Compris dans Arts Décoratifs;Compris dans Arts Décoratifs;;;48.856614, 2.3522219
7511615;MUSEE D'ART MODERNE DE LA VILLE DE PARIS;PARIS;Musée de la ville de Paris (appellation en 2004);777 983;456 472;388 481;258 398;-50;832 088;570 738;114;708 720;457 053;-15;679 611;314 464;-4;;48.864715, 2.297323
7510503;GRANDE GALERIE DE L'EVOLUTION (MNHN);PARIS;Musée du Muséum National d'Histoire Naturelle;643 190;208 892;545 200;170 032;-15;689 163;196 867;26;595 680;308 422;-14;731 078;319 733;23;;48.843673, 2.3560552
7510303;MUSEE D'ART ET D'HISTOIRE DU JUDAISME;PARIS;;104 040;37 051;137 932;42 509;33;100 109;32 949;-27;91 260;30 121;-9;127 221;41 860;39;;48.860973, 2.355602
7510708;MUSEE DE L'ARMEE;PARIS;;1 100 000;259 269;1 142 371;251 204;4;1 266 181;347 663;11;1 221 796;442 988;-4;1 427 425;510 548;17;;48.8570966, 2.3126063
7710801;MUSEE MUNICIPAL ALFRED BONNO;CHELLES;;2 938;2 938;2 955;2 955;1;3 089;3 089;5;3 434;3 434;11;2 350;2 350;-32;;48.877535, 2.59016
7510106;MUSEE DU LOUVRE;PARIS;Musée national;8 314 000;2 647 000;8 224 643;2 703 407;-1;8 422 207;2 722 397;2;8 387 667;2 639 756;0;8 346 421;3 184 027;0;;48.8609175, 2.3359251
7510405;MAISON DE VICTOR HUGO;PARIS;Musée de la ville de Paris (appellation en 2004);127 230;106 416;129 862;111 464;2;134 289;120 690;3;147 760;138 372;10;162 658;136 437;10;;48.8548475, 2.3662689
7511617;MUSEE GALLIERA, MUSEE DE LA MODE DE LA VILLE DE PARIS;PARIS;Musée de la ville de Paris (appellation en 2004);42 076;18 010;76 669;22 850;82;80 115;17 176;4;104 549;25 819;30;Fermé;;;Chiffres d'entrées pour les expositions temporaires;48.865942, 2.296408
7510802;MUSEE DE LA MUSIQUE;PARIS;;124 155;;85 629;27 430;-31;124 682;37 419;46;196 071;47 580;57;147 675;46 762;-25;Collections permanentes gratuites depuis le 11 septembre 2007 à cause des travaux. Baisse de la fréquentation.;48.889622, 2.393773
7510902;MUSEE DE LA FRANC-MACONNERIE;PARIS;;10 000;3 000;6 886;2 300;-31;3 500;2 600;-49;Fermé;Fermé;;15 758;3 307;;Fermeture du musée le 20 décembre 2007 pour environ 18 mois pour travaux. Fréquentation 2008 de la nuit des musées et des visites-conférences. Fermeture complète en 2009 pour la fin des travaux. Réouverture le 11 février 2010.;48.8748847, 2.3431503
7849801;MUSEE DU JOUET;POISSY;;19 232;4 076;18 146;4 813;-6;19 574;7 229;8;16 543;4 819;-15;16 763;4 524;1;;48.9284538, 2.0380813
7855101;MUSEE DEPARTEMENTAL MAURICE DENIS;SAINT-GERMAIN-EN-LAYE;;29 339;3 007;36 243;5 950;24;24 215;3 499;-33;26 862;16 180;11;27 413;16 614;2;;48.8929422, 2.0875694
7857501;COLLECTIONS DE LA FONDATION DE COUBERTIN;ST-REMY-LES-CHEVREUSES;;7 306;2 640;2 963;2 154;-59;3 804;2 217;28;4 067;1 811;7;6 776;2 758;67;Fermeture en 2007 de la Fondation,visites-conférences uniquement sur RDV. Suppression en 2008 visites-conférences d'avril à mi-septembre et des visites de la Fonderie et des ateliers de Coubertin pour des raisons de sécurité et de confidentialité. Exposition Ousmane Sow du 08/05/10 au 10/07/10 - 5 783 personnes;48.700956, 2.061635
9204001;MUSEE FRANCAIS DE LA CARTE A JOUER;ISSY-LES-MOULINEAUX;;15 173;9 007;16 060;12 764;6;15 086;10 909;-6;15 011;13 586;0;15 094;11 404;1;;48.8226304, 2.2735302
9207101;MUSEE DE L'ILE DE FRANCE *;SCEAUX;;39 089;39 089;93 311;93 311;139;87 700;87 700;-6;56 370;44 470;-36;47 504;47 504;-16;"Gratuité du musée de Sceaux à partir de mars 2005. Augmentation de la fréquentation en 2007 grâce à l'exposition ""la Duchesse de Berry"" du 23 avril au 23 jullet 2007";48.774456, 2.300018
9401501;MUSEE ADRIEN MENTIENNE;BRY-SUR-MARNE;;;;2 000;2 000;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;;48.834913, 2.5236489
7510602;MUSEE EUGENE DELACROIX;PARIS;Musée national;34 044;9 890;38 425;9 916;13;38 766;20 744;1;46 930;13 562;21;67 572;21 384;44;;48.8544291, 2.3356882
7510501;MUSEE NATIONAL DU MOYEN-AGE - THERMES DE CLUNY;PARIS;Musée national;289 958;124 048;293 975;128 570;1;360 100;272 339;22;314 557;154 289;-13;306 145;150 234;-3;;48.8502655, 2.3438838
7510901;MUSEE GUSTAVE MOREAU;PARIS;Musée national;29 633;12 038;32 592;13 841;10;32 646;13 302;0;32 643;16 036;0;38 665;17 800;18;;48.8779639, 2.3344884
7511502;MUSEE BOURDELLE;PARIS;Musée de la ville de Paris (appellation en 2004);44 059;27 277;49 810;31 815;13;62 408;32 574;25;48 726;31 559;-22;62 211;30 323;28;;48.8431415, 2.3185435
7511609;MUSEE DE L'HOMME (MNHN);PARIS;Musée du Muséum National d'Histoire Naturelle;165 417;51 704;154 273;29 991;-7;179 821;38 110;17;55 075;25 500;-69;Fermé;Fermé;;Fermeture du musée de l'Homme (muséum) en mars 2009 pour travaux, les gratuits correspondent au week-end de fermeture (2 et 22 mars);48.843673, 2.3560552
7702201;MUSEE DEPARTEMENTAL DE L'ECOLE DE BARBIZON;BARBIZON;;29 078;7 644;25 157;6 975;-13;21 400;7 839;-15;18 782;5 184;-12;18 539;7 660;-1;;48.4462036, 2.602561
7728402;MUSEE DE LA GRANDE GUERRE;MEAUX;Appellation Musée de France en 2007;;;PREFIGURATION;PREFIGURATION;;PREFIGURATION;PREFIGURATION;;PREFIGURATION;PREFIGURATION;;PREFIGURATION;PREFIGURATION;PREFIGURATION;;48.9713368, 2.9041135
7728802;MUSEE DE MELUN;MELUN;;5 393;5 011;6 802;;26;5 800;4 700;-15;5 300;4 000;-9;6 600;;25;;48.5366203, 2.6590847
7733302;CHATEAU-MUSEE DE NEMOURS;NEMOURS;;Fermé;;Fermé;;;5 903;3 829;;8 223;5 521;39;6 179;3 708;-25;;48.265541, 2.697111
7836102;MUSEE DE L'HOTEL DIEU;MANTES-LA-JOLIE;;6 939;1 465;3 994;;-42;8 750;6 153;119;7 809;4 561;-11;7 947;2 181;2;;48.9900331, 1.71917
7835001;MUSEE PROMENADE DE MARLY-LE ROI;MARLY-LE-ROI-LOUVECIENNES;;12 436;2 096;6 629;1 870;-47;7 007;2 301;6;9 027;2 362;29;8 795;2 844;-3;;48.86189, 2.112527
9201201;MUSEE DES ANNEES TRENTE;BOULOGNE-BILLANCOURT;;56 012;;28 005;;-50;28 342;15 737;1;74 658;14 768;163;61 954;20 558;-17;"Hausse de la fréquentation en 2006 grâce à l'exposition ""Tamara de Lempicka"" du 30 mars au 16 juillet 2006. Augmentation de la fréquentation 2009 grâce à l'exposition consacrée à B. Bardot";48.8361441, 2.2391988
9401701;MUSEE DE LA RESISTANCE NATIONALE;CHAMPIGNY-SUR-MARNE;;NC;NC;NC;NC;;NC;NC;;NC;NC;;NC;NC;;;48.817049, 2.515556
9405201;MUSEE DE NOGENT SUR MARNE;NOGENT SUR MARNE;;5 856;5 856;5 785;5 785;-1;7 233;6 936;25;6 528;6 528;-10;6 300;6 300;-3;;48.835134, 2.471677
9408101;MUSEE D'ART CONTEMPORAIN DU VAL-DE-MARNE;VITRY-SUR-SEINE;;107 309;71 488;86 221;63 634;-20;74 234;60 579;-14;56 837;46 308;-23;75 493;56 411;33;;48.7930046, 2.3875381
7511603;MUSEE DES ARTS ASIATIQUES-GUIMET;PARIS;Musée national;263 933;93 239;309 509;103 526;17;360 016;207 005;16;246 835;113 249;-31;224 178;112 179;-9;;48.8651096, 2.2936395
7510306;MUSEE COGNAC-JAY, MUSEE DU XVIIIe SIECLE DE LA VILLE DE PARIS;PARIS;Musée de la ville de Paris (appellation en 2004);33 883;33 883;24 786;24 314;-27;41 303;32 269;67;50 776;39 748;23;44 086;38 847;-13;;48.856614, 2.3522219
7510502;GALERIE  DE MINERALOGIE ET DE GEOLOGIE (MNHN));PARIS;Musée du Muséum National d'Histoire Naturelle;23 207;5 712;41 021;8 713;77;108 382;19 282;164;53 165;11 873;-51;2 410;584;-95;Fermeture du musée le 10 janvier 2010 pour travaux. Réouverture prévue en 2011;48.843673, 2.3560552
7510507;GALERIE DE BOTANIQUE (MNHN);PARIS;Musée du Muséum National d'Histoire Naturelle;N'existe plus;;N'existe plus;;;N'existe plus;;;N'existe plus;;;N'existe plus;;;;48.843673, 2.3560552
7510301;MUSEE DE LA CHASSE ET DE LA NATURE;PARIS;;Fermé;;44 281;16 173;;40 809;18 114;-8;39 949;21 303;-2;39 335;19 381;-2;;48.8612463, 2.3582848
7740501;MUSEE DES PAYS DE SEINE-ET-MARNE;ST-CYR-SUR-MORIN;;6 479;4 198;7 129;5 849;10;9 124;6 428;28;10 405;7 350;14;12 193;10 425;17;;48.907911, 3.182131
7835601;MUSEE DES GRANGES DE PORT ROYAL;MAGNY-LES-HAMEAUX;Musée national;19 575;12 311;20 280;13 274;4;22 642;12 500;12;20 581;12 331;-9;18 127;13 061;-12;;48.741829, 2.053208
7820801;MUSEE DE LA VILLE;MONTIGNY-LE-BRETONNEUX;;11 176;6 430;13 984;9 316;25;13 300;6 976;-5;13 308;3 500;0;11 713;4 149;-12;;48.7664649, 2.031426
7855102;MUSEE MUNICIPAL D'ART ET D'HISTOIRE;SAINT-GERMAIN-EN-LAYE;;Fermé;Fermé;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;Fermé;Fermé;;;48.898908, 2.093761
9111401;MUSEE MUNICIPAL DE BRUNOY;BRUNOY;;4 027;3 198;4 181;3 612;4;4 161;3 697;0;4 379;4 214;5;2 528;2 528;-42;;48.700298, 2.5003403
